Month,Quarter,Date,Category,Vendor,Amount,Notes,Receipt Image,Receipt File
3,Q1,3/13/2025,Utilities,MG&E,344.06,Mar electric bill ,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/AC39RM6cjmoX9u8PxtJy.png,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/N4bmolay9VJSzY5L6HVY.pdf
4,Q2,4/10/2025,Utilities,MG&E,254.04,Apr electric bill ,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/AKlt2TlHXkCbPlI0SbCT.png,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/m73JGTQSujtDl4Xx5Sd4.pdf
4,Q2,4/17/2025,Software,Remakable,2.99,Notebook app,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/IbuYt18fBw8qQQRu61x1.pdf
1,Q1,1/17/2025,Software,Remarkable ,2.99,Notebook app,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/GwgWHE150pt4iafLb6Na.pdf
2,Q1,2/17/2025,Software,Remakable,2.99,Notebook app,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/E7NnM5IxSANPkjIip811.pdf
3,Q1,3/17/2025,Software,Remarkable ,2.99,Notebook app,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/qR6luZOzE2INn7qD7fOB.pdf
2,Q1,2/24/2025,Software,Notion,57.45,Notion business subscription,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/I4uiihJxt9lNEzRFKwDG.pdf
3,Q1,3/30/2025,Office Supplies,HP,5.79,Instant ink subscription ,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/2aMCJWjImT3dk7tZ5oav.pdf
3,Q1,3/2/2025,Office Supplies,HP,1.57,Instant ink,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/24Ee7M64JdPd9RNsxtBp.pdf
1,Q1,1/30/2025,Office Supplies,HP,1.57,Instant ink,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/vwFuol718Yh3VaJu5BmJ.pdf
4,Q2,4/7/2025,Software,Google,1.99,Google storage,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/vRq6w0AalIaoQWnQEfGo.png,
4,Q2,4/18/2025,Software,Power Director,36.91,Video editing software,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/Ih9NVNxoJfnOTpGkfNBt.png,
1,Q1,1/23/2025,Software,YouTube,11.59,YouTube premium for downloading client videos,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/eHeVLEUpPLyolP9Wbxaf.png,
2,Q1,2/21/2025,Software,YouTube,11.59,YouTube premium for downloading client videos ,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/WdH9qPF6PBGpomAS0mQK.png,
3,Q1,3/21/2025,Software,YouTube ,11.59,YouTube premium for downloading client videos ,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/svES1r4yHvvKdI8tGYRU.png,
4,Q2,4/11/2025,Software,YouTube ,11.1,YouTube premium for downloading client videos ,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/s3gcnUfkKxW2BBbLYphg.png,
5,Q2,5/7/2025,Software,Google,1.99,Google storage ,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/jHIoyCBf0dKL0pzHXeCK.png,
5,Q2,5/9/2025,Software,Adobe,164.45,Adobe acrobat ,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/tma5UqIxhvzqH8BNbMuY.png,
5,Q2,5/6/2025,Office Supplies,Amazon,139.54,Amazon Prime membership ,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/06OyfLGFMfWfmK3uTsNi.png,
5,Q2,5/9/2025,Utilities,MG&E,226.78,May electric bill,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/UG3DxZhzT78T0ZK2JBzK.png,
5,Q2,5/14/2025,Meals,Green lantern,12.75,Team Women breakfast,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/1KK5ryCNGKaBiRBAUU8Z.jpg,
5,Q2,5/17/2025,Meals,Grace Coffee,26.46,Meeting with April,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/fZbCalXZLvzcYrMJGEJd.png,
5,Q2,5/22/2025,Repair & Maintenance,MadisonGreen Team,47.48,Lawn service,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/FPMGRLp5kyMRLOzEdjQn.pdf
5,Q2,5/24/2025,Utilities,Madison Municipal Services ,75.91,May water bill,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/Dx6Z8MYXgUfBxe1vWacP.png,
5,Q2,5/26/2025,Utilities,Spectrum ,51.11,May phone bill,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/ayjOVIfuztaiYwJxeMcz.png,
5,Q2,5/25/2025,Legal & Professional,WI DOT,171.95,Vehicle registration ,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/P0CKahBlHhobflxlglWF.png,
6,Q2,6/1/2025,Repair & Maintenance,Madison Green Team,189.9,Lawn mowing,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/i2RLV7DevMVQodoiiN4a.png,
6,Q2,6/10/2025,Utilities,MG&E,187.73,June electric bill,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/NunIfjTTLp0gMzo9Bv5u.png,
6,Q2,6/26/2025,Utilities,Spectrum ,51.11,June phone bill,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/6Rn4Mv2GMg4MwNYf9R09.png,
6,Q2,6/28/2025,Donations,Target,15.81,Reach Dane backpack donation ,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/J9sXLZf03J1cSIBwKNiQ.png,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/LGQGcpvbGlejnlYTAfQb.png
6,Q2,6/28/2025,Donations,Target,23.2,Reach Dane backpack donation ,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/ObBkEFGBOp91M70s7oxF.png,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/IS0okZi00yGd1N7dpP17.png
6,Q2,6/1/2025,Rent,Gyongyi Petrak,2700,June rent,,
6,Q2,6/1/2025,Vehicle,Summit Credit Union,495.99,June car payment,,
6,Q2,6/2/2025,Utilities,Spectrum ,59.99,May internet ,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/gMy5gGLWVAi3xE9BV2Az.png,
7,Q3,7/4/2025,Repair & Maintenance,Madison Green Team,189.9,Lawn service,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/HwHTxLZCaHwgiTlRvSA8.jpg,
6,Q2,6/19/2025,Meals,La Brioche,46.17,Client brunch,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/S5R2fmq0ZByWRsEjup5e.jpg,
7,Q3,7/9/2025,Utilities,Madison Municipal Services,73.3,Water bill,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/4IcG7IQcoAM3ruY2vGqU.png,
7,Q3,7/9/2025,Meals,True Coffee,14.52,Networking breakfast,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/IzuNRDjw8DQeRJOsXRY0.png,
